weight(kg);height(m);age (years);gender;BMR;BMI
17,86130068;0,86436047;4;F;954,61;23,90690122
12,931175;1,027469484;3;F;939,709;12,24898563
14,48431093;0,873652127;4;F;923,77;18,97670304
17,36245419;0,942501726;4;F;963,105;19,54550088
12,00553609;1,014601878;4;F;923,935;11,6624618
15,06834078;0,8696493;4;M;680,061;19,92402737
15,00434377;0,866792547;4;F;927,596;19,97039563
14,83057485;1,003602764;3;F;953,886;14,72428746
16,8203535;1,06801394;3;F;983,938;14,74623925
14,63351181;1,06606621;4;M;772,312;12,87597742
15,77462082;0,902881481;5;F;936,426;19,35073379
16,11874961;1,052203014;2;F;979,215;14,55902414
16,61104953;0,86144394;2;M;710,693;22,38427501
16,65041405;0,892110976;3;F;952,403;20,92123283
12,70738167;0,870388263;4;F;906,157;16,77374445
16,49157642;1,017786746;2;M;787,228;15,92020257
14,28082383;1,035633828;4;F;949,354;13,31498882
14,33756736;1,027472027;4;F;948,511;13,58111597
17,09129193;0,934311956;3;F;963,809;19,57902584
15,10033992;0,950465946;4;F;942,742;16,71527789
16,52744594;0,96976104;3;F;964,423;17,57422897
14,35299265;0,930858288;4;F;932,235;16,56438523
14,7398191;0,89114987;4;F;929,198;18,56054214
17,19164976;0,964207552;4;F;965,155;18,49168546
13,49252953;0,957090227;5;F;923,734;14,72948674
14,83141999;0,995978292;5;F;943,198;14,95143881
13,05332043;0,959289453;3;F;929,291;14,18474916
17,84464598;0,859933598;3;M;720,038;24,1311546
15,4965563;0,870141353;3;M;692,973;20,46706558
12,43541022;0,888154226;3;F;911,266;15,76461407
14,19789647;0,888489213;4;F;923,543;17,98538281
12,28955297;0,961414927;4;F;917,62;13,29579665
13,561448;0,930915099;4;F;924,645;15,64897565
13,65832071;0,910042391;5;F;917,327;16,4920279
15,82942567;1,038411534;2;F;974,092;14,68000322
17,85537749;1,041912702;4;F;984,737;16,44774528
17,49643859;0,888491194;2;F;964,609;22,1637581
13,63628495;0,977454557;4;F;933,276;14,27259415
13,91043424;1,001421903;5;F;935,282;13,87095988
16,81797656;0,942046438;3;F;962,5;18,95086854
16,28806326;0,90281087;3;F;950,743;19,98369941
15,20856596;0,868766476;4;M;681,541;20,15032977
17,0728878;0,925327672;4;F;957,405;19,9395745
14,6501898;0,8708789;3;F;929,591;19,31646778
16,21287761;0,889563774;4;F;943,069;20,4883001
17,65683602;0,887800799;4;F;956,632;22,40174352
15,60329925;0,907761631;5;F;935,611;18,93532629
14,75427798;1,077561589;4;F;961,027;12,70672871
17,45213644;0,933791561;2;F;971,885;20,01468275
14,60134868;0,881847497;4;F;926,287;18,77612634
16,03072865;1,026976282;4;F;964,681;15,19960967
17,23849896;1,019709683;2;F;984,44;16,578543
16,84832975;0,990269245;2;F;975,69;17,18107253
15,92955442;1,004670926;2;F;969,318;15,78177906
14,297818;0,85881259;2;M;677,686;19,38531934
13,15531755;0,991541074;3;F;935,753;13,38073338
14,14341029;0,958598743;4;F;934,939;15,39148167
17,49611425;0,942409807;4;F;964,372;19,69980886
15,32758728;0,869188818;2;F;940,507;20,28829434
13,72648133;0,885332187;3;F;923,181;17,51244224
15,66711818;1,02122402;3;F;964,912;15,02266826
13,30313648;0,869861575;5;F;907,087;17,58141209
17,06456603;0,964487948;3;F;968,683;18,34432084
17,14044693;0,949862974;4;F;962,225;18,99766492
16,20459367;0,873701649;3;F;944,993;21,22813471
12,0567381;1,015325343;2;F;933,95;11,69551565
12,63177019;1,032426993;3;F;937,678;11,85074122
15,96833623;0,924652799;2;M;733,493;18,67679241
14,68015178;1,076784661;4;M;778,31;12,66114042
16,52753409;0,957691403;5;F;952,972;18,02008702
12,1426878;0,970381788;4;F;917,735;12,89524373
16,74006331;0,896092643;4;M;716,185;20,84736991
12,76217106;0,922243091;3;F;920,198;15,00492194
16,65541088;1,077717677;3;F;984,004;14,3398741
14,45729828;0,971771208;4;F;940,191;15,3094323
16,86706827;0,906417031;3;F;956,915;20,52974185
16,91030711;0,914961276;4;F;954,082;20,19975339
15,37527938;0,88316258;2;M;704,623;19,71249956
13,46242284;0,939106415;4;F;925,087;15,26488768
15,14033951;1,051270438;4;M;771,858;13,69956288
12,98123787;1,078761057;5;F;939,509;11,1548976
13,95022154;0,97899772;3;F;941,252;14,55518547
15,76186339;1,046499208;2;F;974,819;14,39228503
16,95739497;1,028733789;3;M;792,283;16,02334291
13,42654808;0,960330543;4;F;928,351;14,55870975
17,53091272;0,907470027;3;M;739,509;21,28824936
13,6630906;0,923592912;3;F;929,076;16,01724306
16,26279988;0,917515081;4;M;720,358;19,31829952
15,75621851;0,904997354;4;F;941,309;19,23788729
17,66665468;1,014533051;4;F;978,271;17,16413495
12,91003012;0,871930841;3;F;913,065;16,98099668
14,95139438;1,0214689;4;F;953,383;14,32951199
14,96129311;0,949528986;4;F;941,248;16,59406083
16,06372702;0,917666847;2;M;731,306;19,07551323
16,24123717;1,05374698;4;F;971,253;14,62670229
15,79551505;1,061830162;5;F;963,648;14,00953356
16,68186538;0,970782368;2;F;970,779;17,70112433
17,83106586;0,954868296;2;F;979,106;19,55646505
16,49188698;1,066423285;3;F;980,514;14,50143939
16,77733476;1,06999937;4;F;979,162;14,6539912
14,84251018;0,863425522;5;F;920,77;19,90937341
17,02860978;0,927829835;2;F;966,806;19,78073963
17,6593285;0,873220888;4;F;954,177;23,15932804
16,59020587;0,934106135;5;F;949,564;19,01337995
17,08539742;0,904699405;5;F;949,319;20,87451894
17,80295509;0,904223171;5;F;956,126;21,77413105
16,78042615;1,060085048;3;F;982,207;14,93212332
15,85727645;0,913061914;5;F;938,95;19,02077213
16,01355207;0,994648901;2;F;968,42;16,18631777
15,66485378;0,898388909;4;F;939,309;19,4087507
17,4872372;0,9129813;3;F;963,984;20,97961127
16,20362788;0,874077621;2;F;949,748;21,20861256
16,46162916;0,876654071;2;M;716,251;21,41984411
17,23951509;0,903167045;3;F;959,938;21,13434927
13,19464026;0,969660143;5;F;923,011;14,03325654
16,81444672;0,85762538;5;F;938,715;22,8605846
13,2507111;0,968264085;4;F;928,012;14,13355907
16,49002096;0,872549309;3;F;947,538;21,65914205
13,78475808;1,064650102;2;F;958,924;12,16144971
15,38802252;0,902802825;3;F;942,101;18,87978283
17,72110941;0,887167618;3;F;961,841;22,51539364
15,88910188;0,923457874;3;F;950,423;18,63224439
15,19538369;1,061227955;3;F;967,184;13,49255842
17,78924494;1,031908463;4;M;798,467;16,70610346
14,78025311;0,954389642;3;F;945,037;16,22670858
12,7813637;0,980016101;3;F;930,204;13,30793808
12,50200475;1,006984112;4;F;927,407;12,32918652
14,62325602;1,00781423;3;F;952,612;14,39736819
13,5212985;1,03354227;2;F;951,107;12,6579074
14,31381381;0,886143192;4;F;924,257;18,22835817
14,0701572;1,051022314;3;M;763,872;12,7372325
12,11362689;0,930018223;5;F;905,894;14,00526324
16,08075955;0,92561849;4;F;947,93;18,76905969
17,03352423;0,945630741;5;F;955,779;19,04852486
14,34552721;1,065754104;3;F;959,795;12,62997486
14,11832274;1,006710854;4;F;942,877;13,93072128
17,30260904;1,011722754;2;F;983,698;16,90396402
17,03754192;1,077423327;5;F;978,222;14,67689505
14,71300132;1,066700298;3;F;963,484;12,93053342
15,97272591;0,927243585;4;F;947,17;18,57767513
17,29606398;0,902735369;2;M;740,724;21,22395744
16,16121203;0,902755353;3;F;949,516;19,83050543
12,98951129;0,993149218;4;F;929,735;13,16933366
14,23532056;0,861938966;3;F;924,089;19,16082581
17,3766754;0,926710022;3;M;747,015;20,23387062
12,359605;0,966925881;5;F;914,53;13,21959719
14,10363218;0,987069535;2;F;948,797;14,47556343
17,16373011;0,905559207;4;F;954,917;20,93042158
17,19703768;0,903766587;4;M;726,283;21,05431329
16,52231236;1,076615523;4;F;977,839;14,25442008
15,71521142;0,929179385;3;F;949,727;18,20208323
14,45676335;0,908879212;4;F;929,494;17,50083342
17,47775354;0,88301977;3;F;958,8;22,41531037
14,13886949;1,066382289;3;F;957,918;12,43336945
17,87129602;0,926426724;3;F;969,957;20,82254935
14,56601867;0,901974608;3;F;934,069;17,90408945
15,96988392;1,056692464;4;F;969,149;14,30225574
14,22671752;0,922414954;4;F;929,587;16,72060696
17,62741609;0,876938017;4;F;954,503;22,92191299
15,43749811;0,906918355;4;F;938,576;18,76897406
13,64456608;0,886309642;4;F;917,86;17,36955856
16,25754745;0,917136237;4;F;948,186;19,32801809
15,74039436;0,906265505;4;F;941,373;19,16481844
17,59591272;1,034169734;5;F;976,23;16,45235804
15,58429803;0,983854201;2;F;962,464;16,09999557
17,02489103;0,901236605;4;F;952,849;20,96074407
12,9651651;0,907887517;2;F;924,406;15,72946536
13,57796399;0,867861519;2;F;923,485;18,02742879
17,83183772;0,948489444;2;F;978,029;19,82125273
12,42378405;0,954125635;3;F;922,37;13,64717514
15,92224514;1,047327425;2;F;976,499;14,51574581
13,78807007;0,941275326;3;F;933,282;15,5621692
16,11262902;0,877690965;4;F;940,089;20,91621766
17,10716762;0,971444808;2;M;772,491;18,12766422
17,73837863;0,964228711;4;F;970,407;19,07892069
15,12467557;0,890159454;5;M;684,288;19,08756156
13,4614173;0,930251154;3;F;928,272;15,55572843
16,86271358;0,940123609;4;F;957,903;19,07908512
16,12890341;0,874508482;2;F;949,104;21,09001015
15,41232817;1,027507078;3;M;770,502;14,59817626
15,74598944;0,886013746;4;F;937,984;20,05806507
16,24377592;1,012526028;4;M;767,603;15,84435623
16,85508483;0,973736248;3;M;763,383;17,77658233
17,63440182;0,895469046;3;M;734,926;21,99173917
16,62264073;0,928405436;3;F;958,306;19,28522318
16,11297158;0,923682586;5;M;714,589;18,88557138
13,92162608;0,949316743;5;F;926,531;15,44783718
14,25507819;1,07636431;4;F;956,031;12,30413325
15,64552746;0,908574978;3;M;714,231;18,95259422
17,57471283;0,942115279;3;F;969,777;19,80068174
16,40789248;0,975058813;4;F;959,476;17,25802831
16,35710915;0,926444565;4;F;950,724;19,05757669
12,38147321;0,856517943;3;F;905,37;16,87716091
15,0549896;1,062423834;4;M;776,265;13,33781994
13,52621011;0,993013226;5;F;930,164;13,71721873
16,88835499;0,870195393;4;M;705,268;22,30251243
16,58624724;1,033119598;4;F;971,058;15,53985402
14,6726035;1,073872268;4;F;959,615;12,72336328
15,34557453;1,059851845;4;F;963,692;13,66132531
14,85902266;1,076822403;2;F;971,306;12,81451224
17,13991297;0,916287889;4;M;731,761;20,41478073
16,20680684;0,863205486;5;M;685,636;21,75049137
14,99944596;0,875747179;3;F;933,772;19,55769744
17,74846722;0,934635338;4;F;965,473;20,31778956
17,19478719;0,928331854;4;F;959,086;19,95217748
12,15273914;1,04976163;4;F;931,326;11,02789916
17,24729932;0,920773056;3;F;963,005;20,34304201
17,07203577;0,939222359;4;F;959,759;19,35300759
15,19132014;1,008767039;2;F;962,927;14,92841671
16,24497076;0,910823194;3;F;951,692;19,58171708
16,54267796;1,012315414;4;F;967,103;16,14262345
15,65221579;0,891808251;3;F;942,769;19,68035164
15,75876947;1,077965131;3;F;975,438;13,56166076
16,02324496;0,90355447;4;F;943,627;19,6264519
16,06730726;0,976026332;3;F;961,071;16,86630813
13,2265539;0,863199109;2;F;919,319;17,75107829
15,78231944;1,069968981;4;M;790,002;13,78568829
16,91459081;0,882164687;5;F;943,848;21,73512579
15,71114361;0,917928106;4;M;713,007;18,64620536
14,57408715;0,968732195;3;F;945,496;15,53008724
14,63321508;1,041119836;3;F;958,369;13,50014128
16,39172017;0,888069728;3;F;949,232;20,78406056
17,50324589;0,885048593;3;F;959,389;22,34520593
15,30324097;1,055643659;4;M;776,276;13,73247226
16,57582754;1,039368356;2;M;799,173;15,34391694
13,08259828;0,931041992;5;F;915,37;15,09230135
16,13325481;1,006218614;4;F;962,136;15,93445813
16,45070729;0,8678927;5;F;936,969;21,83999345
14,4623978;1,015453942;3;F;952,366;14,02554815
15,91885643;0,884227456;3;M;705,802;20,36028599
15,83465015;1,068022429;4;F;969,776;13,88186211
12,7545349;1,073671297;3;F;945,868;11,06424898
16,92256149;0,891738396;4;F;950,252;21,28095765
14,26282881;1,060180384;3;F;958,054;12,68954766
15,10107135;0,966146229;4;F;945,415;16,17789578
12,59816261;0,883623915;3;F;912,058;16,13512323
13,46795805;0,908664951;3;F;924,665;16,31151131
17,24906553;0,875032063;3;F;955,246;22,52774068
15,80738771;0,911143907;2;M;724,533;19,04084226
13,01454267;1,026763559;2;F;945,089;12,34491256
15,61361013;1,018251853;2;M;775,432;15,05888834
16,9381411;0,881069642;4;F;948,588;21,81952395
15,00504278;0,900855616;4;F;933,394;18,48957197
17,35876916;1,059816171;5;F;978,313;15,45460267
15,94087683;0,856341972;5;F;930,111;21,73790794
17,58074338;0,950019386;4;F;966,478;19,47925307
15,24096192;0,859237426;4;M;677,22;20,64362718
17,57810028;0,978634401;4;F;971,318;18,35401076
13,58236841;1,033654675;5;F;937,612;12,71231248
17,60569046;0,884815684;3;F;960,333;22,4878242
14,77485713;0,947256531;4;F;939,072;16,46599857
12,45930038;1,069538704;3;F;942,331;10,89182478
17,15352722;0,901278242;3;F;958,791;21,11716738
15,04667001;0,975491318;4;F;946,482;15,81224664
12,30119248;0,983346828;4;F;921,46;12,7213667
14,35979985;0,87842262;5;M;667,941;18,6097854
17,69622403;0,965758278;2;M;777,717;18,97333734
14,15592706;0,865750686;5;F;914,575;18,88654979
16,35076064;1,002666518;4;F;963,621;16,26390899
14,94164679;0,877933679;3;M;689,267;19,38541251
16,9738252;0,897985558;3;M;727,134;21,04946302
13,20849836;0,898580274;4;F;915,76;16,35835713
12,25159117;1,006475527;2;F;934,316;12,09444817
17,62390908;0,992407545;2;M;790,051;17,89460551
16,36670249;0,928952989;3;M;734,3;18,96591129
14,45857019;0,890545429;3;F;931,095;18,23111331
16,68273992;1,073876779;3;F;983,613;14,46633362
13,92258847;0,8941116;3;F;926,556;17,41552325
17,65925018;0,918294853;3;F;966,539;20,94150835
17,62767742;0,963692562;4;M;762,145;18,9809559
17,86841743;0,935643432;4;F;966,796;20,41104982
17,73735759;0,992792653;3;F;979,953;17,99582711
16,99479569;0,899903348;5;M;714,78;20,98573638
14,6791005;1,065662537;3;F;962,982;12,92587781
13,13165278;0,856870786;4;F;907,932;17,88499069
14,758504;1,036167188;3;M;765,875;13,74620025
16,16341746;0,91832956;3;F;952,185;19,16620206
17,48107066;0,971048477;4;F;969,097;18,53899577
15,08526251;0,886189999;4;F;931,671;19,20875347
17,68643299;1,013885876;3;F;983,05;17,20529434
16,09933214;0,883380011;4;F;940,928;20,63064111
16,79672486;0,940468374;3;F;962,028;18,99049202
15,68759292;1,055180812;3;F;970,882;14,0897258
16,5574831;1,041410365;2;M;799,943;15,26688833
17,07578895;1,015868878;2;F;982,225;16,54647424
12,3234741;0,870185521;4;F;902,437;16,27456733
14,25631651;1,075476461;2;F;965,292;12,32552735
17,76850656;1,014724909;2;F;988,681;17,25656231
17,44269784;1,076147422;5;F;981,895;15,06156563
15,44818902;0,987751745;4;F;952,42;15,83368365
16,99612752;0,971548305;4;F;964,526;18,00616328
16,1402481;0,869805232;5;M;688,024;21,33369956
15,55580012;0,86216192;4;F;932,103;20,92737131
17,65403345;0,90259037;4;M;731,955;21,67018178
15,95669142;1,040778037;2;M;791,396;14,73080934
15,25136738;0,906126837;3;M;707,607;18,57508442
16,72023194;0,892172486;4;M;713,953;21,00606213
16,65971851;0,912712716;4;M;723,395;19,99859368
15,49821908;1,039296399;4;F;961,663;14,34838266
14,79285515;1,04356239;3;F;960,317;13,58360887
17,4951637;0,951936944;4;F;965,983;19,30641544
13,67555584;0,866193699;3;F;919,438;18,22698966
15,34297636;0,976679912;4;F;949,528;16,08440889
17,10526904;1,01753104;4;F;973,391;16,52093325
17,75623149;0,975258003;3;F;977,154;18,66860009
12,72249569;1,030566802;4;F;933,532;11,97898485
16,96523121;1,070357772;3;F;985,727;14,8081856
16,27496972;0,879347793;4;F;941,929;21,04741836
13,34522854;0,93942954;3;F;928,717;15,12159462
14,25917377;0,963942907;4;F;936,958;15,34587788
17,0915938;0,873209274;3;M;716,359;22,41536856
13,43141648;0,97235103;4;F;930,441;14,20612589
13,4549849;0,92101646;2;F;931,341;15,86165249
12,06484746;1,030273489;3;F;931,869;11,36623906
17,72104792;1,055373504;5;M;802,465;15,91025082
15,65200578;0,909429975;3;M;714,747;18,92480749
15,8089844;0,915761572;3;F;948,346;18,85120605
16,17648665;1,071517478;4;M;796,177;14,08917892
17,7701366;0,992715248;3;F;980,255;18,03189545
17,68076215;1,054672441;4;M;808,363;15,89519229
17,54752108;0,988301451;5;F;967,967;17,96540063
12,61581307;0,910225125;3;F;916,75;15,22711427
13,40752868;1,06391164;3;F;950,477;11,84506952
14,88967877;0,934373749;4;F;937,984;17,0546995
16,44002173;0,975165856;5;F;955,102;17,28802628
17,49132066;1,070305775;4;F;986,069;15,26886883
17,14942297;0,945653598;4;F;961,596;19,17720688
16,58250175;0,881761537;5;F;940,591;21,32788303
17,48471384;0,896064235;2;F;965,784;21,77610698
14,56517133;0,873124537;4;F;924,457;19,1057113
16,85657103;1,02130968;3;F;976,346;16,16048305
13,19590779;0,996188821;4;F;932,233;13,29706968
15,50616108;0,992550715;4;F;953,793;15,73978797
17,43209343;0,942517008;4;M;748,878;19,62325977
17,57384644;1,049961722;4;F;983,402;15,94115901
12,15237984;1,020996408;3;F;931,132;11,65770086
14,25113238;0,978010067;5;F;934,573;14,89919224
16,27087976;0,927754777;3;F;954,819;18,90360515
16,6891905;0,875598405;5;F;940,568;21,76834183
14,10752597;1,059748062;3;F;956,489;12,56161841
16,93415675;1,005517915;5;F;965,006;16,74880977
16,32113681;1,009459238;2;F;973,891;16,01669226
16,05394443;0,875965879;5;F;934,532;20,9222013
16,77240589;1,021792263;4;M;779,478;16,06460842
16,89048168;0,869143563;3;F;950,803;22,35934097
17,66177714;0,901127945;3;F;963,645;21,75011136
12,59484079;1,002852204;4;F;927,595;12,5233009
16,78557221;1,046244247;4;F;975,203;15,33451288
17,3682986;0,99640079;5;F;967,624;17,49400113
16,34318347;0,924691363;3;M;731,847;19,11362469
13,97255448;0,938225356;4;F;929,835;15,87309005
17,87542513;1,005606713;4;F;978,757;17,6766536
15,00733233;1,078360463;3;F;968,292;12,90552234
12,71128583;0,999533443;5;F;923,449;12,72315523
13,79520763;0,859509381;4;F;914,751;18,67355476
14,69592747;1,05327967;3;F;961,038;13,24675783
12,09750876;1,059105545;4;F;932,384;10,78493325
16,14757824;1,054355388;4;F;970,457;14,52557569
15,64457012;0,900468793;3;F;944,168;19,29417894
12,39172963;1,064712811;3;F;940,862;10,93117809
14,8863521;0,965034136;4;F;943,165;15,98464277
15,98266804;0,945517325;2;F;959,772;17,87764451
14,14192991;0,974298936;2;F;946,993;14,8978715
15,00747133;0,972406982;5;F;940,881;15,87125922
15,61345363;0,892797557;3;F;942,565;19,58813061
15,92138414;0,857674142;4;F;934,85;21,64393334
17,35126955;1,009927946;3;M;788,276;17,01180819
16,80710851;0,922113339;5;M;723,314;19,76625504
17,38450301;0,989588867;2;F;980,721;17,75222027
17,09939219;0,909092011;3;F;959,6;20,69021441
16,03558193;0,916729805;4;F;945,986;19,08103913
15,40380961;1,068047702;4;M;783,856;13,50351535
17,71914302;0,868258642;5;F;949,208;23,50414644
17,63942688;1,041978956;3;F;987,375;16,24675287
15,18170589;1,051111981;3;F;965,333;13,74113483
15,2970185;0,883502631;3;M;696,92;19,59706793
14,10050467;1,056048636;3;M;766,801;12,64348555
16,29705089;0,856926287;3;F;943,029;22,19331058
14,30062302;1,071939819;5;F;951,016;12,44555162
14,45100604;0,863659088;4;F;921,752;19,37373644
17,55303549;1,003434508;5;M;774,194;17,43308171
16,66033471;0,875148191;3;M;711,421;21,7530683
17,66786809;0,911742015;4;F;960,808;21,25397726
12,90243208;0,920330536;3;F;921,22;15,23294654
17,53265536;1,017424136;3;F;982,176;16,93727832
16,50332857;0,894595385;4;F;946,713;20,6214044
12,53543341;1,024023371;5;F;925,924;11,95417521
17,5713449;0,943811655;4;F;965,333;19,72578664
15,41368878;1,006461175;2;F;964,67;15,2164216
15,23758617;0,894655049;4;F;934,572;19,03728186
16,78522912;1,032799365;5;F;968,214;15,73603632
14,02345083;1,01819825;5;F;939,219;13,52664845
16,90417696;0,940909169;2;M;754,442;19,0940752
12,81400403;0,856764358;2;F;914,264;17,456697
15,40536098;0,991017078;4;F;952,564;15,68590577
15,38600644;1,061268567;3;M;787,023;13,66077401
13,87030755;1,044834249;4;F;946,977;12,70548625
13,99055267;0,890820403;4;F;921,949;17,63009125
16,93316873;0,887097412;3;F;954,265;21,51768825
17,48501275;1,024790875;4;M;790,74;16,64927988
12,78035997;1,013433656;3;F;935,875;12,44378332
15,42916807;1,055892753;4;F;963,822;13,83894208
14,00686522;1,057056641;5;F;945,666;12,53557997
15,92857948;0,995906814;5;F;953,719;16,05978176
16,01259881;0,870418041;5;M;686,582;21,13518507
16,67963056;0,886401074;3;M;717,311;21,22882126
15,17777985;0,875184446;3;M;691,128;19,81568398
16,28587973;1,051808076;3;F;976,052;14,72103079
14,90840392;1,007106042;3;F;955,229;14,69876166
16,65293668;0,87574334;4;M;704,817;21,71386554
17,62504013;0,967624001;2;M;777,675;18,82421397
15,25245871;1,046483324;3;F;965,226;13,92756628
15,19311898;0,861406063;3;F;933,193;20,4753385
16,19042977;1,043308194;3;M;789,063;14,8741837
17,1768051;0,967350056;4;F;965,547;18,35587391
15,73099078;0,884874848;5;M;689,952;20,09057541
15,81151848;1,037485116;4;F;964,363;14,68959528
17,64541394;0,96262769;4;M;761,856;19,04211358
15,07040253;0,953133879;5;F;938,209;16,58887899
17,88692977;0,888683356;4;M;728,193;22,64861813
16,53456255;0,893376054;4;M;712,012;20,71686779
16,10766023;1,04097824;4;F;967,8;14,8644607
13,35584172;1,003513713;2;F;944,413;13,26247689
14,04861385;0,978530965;2;F;946,817;14,67183144
17,42424364;1,047847407;5;F;976,907;15,86930287
